x,t=0.000000,t=0.100000,t=0.200000,t=0.300000,t=0.400000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.100000,100.000000,360.989295,226.048922,345.881203,260.975761,329.588576
0.200000,100.000000,274.176448,272.911911,294.914797,301.818044,293.033194
0.300000,100.000000,222.198892,284.686702,283.437164,304.552202,292.828967
0.400000,100.000000,194.661113,284.519277,283.651841,299.817058,297.749394
0.500000,100.000000,186.055557,283.391262,284.653620,297.527856,299.810347
0.600000,100.000000,194.661113,284.519277,283.651841,299.817058,297.749394
0.700000,100.000000,222.198892,284.686702,283.437164,304.552202,292.828967
0.800000,100.000000,274.176448,272.911911,294.914797,301.818044,293.033194
0.900000,100.000000,360.989295,226.048922,345.881203,260.975761,329.588576
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
