x,t=0.000000,t=0.050000,t=0.100000,t=0.150000,t=0.200000,t=0.250000,t=0.300000,t=0.350000,t=0.400000,t=0.450000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,261.025803,280.537926,287.776363,291.940384,294.622810,296.401309,297.589539,298.385059,298.917965,299.275007
0.100000,100.000000,230.102895,262.051459,275.914648,284.088969,289.379741,292.891543,295.238489,296.809893,297.862575,298.567866
0.150000,100.000000,205.685133,245.162420,264.746093,276.646270,284.401211,289.557368,293.004787,295.313298,296.859819,297.895989
0.200000,100.000000,186.551627,230.247245,254.556721,269.798580,279.810427,286.481000,290.943455,293.932128,295.934389,297.275921
0.250000,100.000000,171.745703,217.516851,245.582823,263.712984,275.720236,283.738161,289.105246,292.700392,295.109072,296.722930
0.300000,100.000000,160.527063,207.075015,238.012223,258.533895,272.230408,281.396218,287.535392,291.648413,294.404189,296.250632
0.350000,100.000000,152.334777,198.960576,231.988484,254.380889,269.425405,279.512566,286.272496,290.802085,293.837095,295.870656
0.400000,100.000000,146.759230,193.177427,227.616141,251.347504,267.372628,278.133271,285.347597,290.182237,293.421751,295.592357
0.450000,100.000000,143.521644,189.715187,224.965733,249.500687,266.121107,277.292009,284.783414,289.804121,293.168384,295.422590
0.500000,100.000000,142.460141,188.562625,224.077852,248.880618,265.700608,277.009292,284.593801,289.677040,293.083229,295.365532
0.550000,100.000000,143.521644,189.715187,224.965733,249.500687,266.121107,277.292009,284.783414,289.804121,293.168384,295.422590
0.600000,100.000000,146.759230,193.177427,227.616141,251.347504,267.372628,278.133271,285.347597,290.182237,293.421751,295.592357
0.650000,100.000000,152.334777,198.960576,231.988484,254.380889,269.425405,279.512566,286.272496,290.802085,293.837095,295.870656
0.700000,100.000000,160.527063,207.075015,238.012223,258.533895,272.230408,281.396218,287.535392,291.648413,294.404189,296.250632
0.750000,100.000000,171.745703,217.516851,245.582823,263.712984,275.720236,283.738161,289.105246,292.700392,295.109072,296.722930
0.800000,100.000000,186.551627,230.247245,254.556721,269.798580,279.810427,286.481000,290.943455,293.932128,295.934389,297.275921
0.850000,100.000000,205.685133,245.162420,264.746093,276.646270,284.401211,289.557368,293.004787,295.313298,296.859819,297.895989
0.900000,100.000000,230.102895,262.051459,275.914648,284.088969,289.379741,292.891543,295.238489,296.809893,297.862575,298.567866
0.950000,100.000000,261.025803,280.537926,287.776363,291.940384,294.622810,296.401309,297.589539,298.385059,298.917965,299.275007
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
